"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-01",,"86",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-02",,"86",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-03",,"86","98",
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-04",,"85","94","79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-05",,"85","95","79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-06",,"85",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-07",,"85","95","78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-08",,"86","96","78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-09",,"86","95","78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-10",,"86","96","79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-11",,"86","98","80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-12",,"86",,"81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-13",,"85","95",
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-14",,"85",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-15",,"85",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-16",,"85",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-17",,"84","93",
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-18",,"86",,"77"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-19",,"87","98","79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-20",,"86",,"79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-21",,"85",,"80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-22",,"86",,"78"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-23",,"83","90",
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-24","0.00","80","87",
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-25","0.00","80",,"76"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-26",,"83","92","74"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-27",,"84","94","77"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-28",,"84","92","79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-29",,"84",,"79"
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-30",,"84",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-01-31",,"85","94","77"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-01",,"85","94","80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-02",,"85","94","80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-03",,"86","95","81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-04",,"86",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-05",,"87",,"80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-06",,"86",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-07",,"86","96","81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-08",,"86","95","81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-09",,"86",,"80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-10",,"84",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-11",,"83",,"76"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-12",,"82",,"75"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-13",,"85",,"75"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-14",,"87","99","76"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-15",,"87",,"81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-16",,"86","96",
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-17","0.83","84","93",
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-18",,"85",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-19",,"85",,"80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-20",,"86",,"81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-21",,"86","94","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-22",,"86","94","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-23",,"87","96","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-24",,"87",,"82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-25",,"87","98","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-26",,"87",,"82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-27",,"87",,"82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-28",,"87","96","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-02-29",,"86","96","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-01",,"88",,"82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-02",,"87",,"83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-03",,"87","97","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-04",,"88",,"83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-05",,"88",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-06",,"88","97","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-07",,"89","98","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-08",,"87","97","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-09",,"87","94",
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-10",,"88",,"84"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-11",,"88",,"83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-12",,"88",,"84"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-13",,"87","95",
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-14",,"88","98","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-15",,"89",,"84"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-16","0.17","85",,
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-17",,"87",,"81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-18",,"87",,"81"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-19",,"87","96",
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-20","1.04","79","83",
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-21","0.98","85","94","76"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-22","0.00","87",,"80"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-23",,"87","95","82"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-24",,"88","96","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-25",,"88","97","83"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-26",,"88",,"84"
"TH000048455","BANGKOK METROPOLIS, TH","2024-03-27",,"90",,
