"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041923","TEJGAON, BG","2024-01-01","0.00","67",,"60"
"BGM00041923","TEJGAON, BG","2024-01-02","0.00","64","74","58"
"BGM00041923","TEJGAON, BG","2024-01-03","0.00","62",,"59"
"BGM00041923","TEJGAON, BG","2024-01-04","0.00","66","78","58"
"BGM00041923","TEJGAON, BG","2024-01-05","0.00","65",,"58"
"BGM00041923","TEJGAON, BG","2024-01-06","0.00","69",,"58"
"BGM00041923","TEJGAON, BG","2024-01-07","0.00","70","81","62"
"BGM00041923","TEJGAON, BG","2024-01-08","0.00","68","78","61"
"BGM00041923","TEJGAON, BG","2024-01-09","0.00","65","74",
"BGM00041923","TEJGAON, BG","2024-01-10","0.00","64","73","57"
"BGM00041923","TEJGAON, BG","2024-01-11","0.00","63","73","58"
"BGM00041923","TEJGAON, BG","2024-01-12","0.00","60",,"57"
"BGM00041923","TEJGAON, BG","2024-01-13","0.00","60",,"57"
"BGM00041923","TEJGAON, BG","2024-01-14","0.00","61","65","57"
"BGM00041923","TEJGAON, BG","2024-01-15","0.00","62","71",
"BGM00041923","TEJGAON, BG","2024-01-16","0.00","60",,"57"
"BGM00041923","TEJGAON, BG","2024-01-17","0.00","58","65","56"
"BGM00041923","TEJGAON, BG","2024-01-18","0.00","64",,"55"
"BGM00041923","TEJGAON, BG","2024-01-19","0.00","67",,"59"
"BGM00041923","TEJGAON, BG","2024-01-20","0.00","64","73","57"
"BGM00041923","TEJGAON, BG","2024-01-21","0.00","63","74",
"BGM00041923","TEJGAON, BG","2024-01-22","0.00","57","63","54"
"BGM00041923","TEJGAON, BG","2024-01-23","0.00","61",,"52"
"BGM00041923","TEJGAON, BG","2024-01-24","0.00","64",,"54"
"BGM00041923","TEJGAON, BG","2024-01-25","0.00","65","74","58"
"BGM00041923","TEJGAON, BG","2024-01-26","0.00","65","75",
"BGM00041923","TEJGAON, BG","2024-01-27","0.00","64",,"55"
"BGM00041923","TEJGAON, BG","2024-01-28","0.00","65",,"55"
"BGM00041923","TEJGAON, BG","2024-01-29","0.00","65",,"54"
"BGM00041923","TEJGAON, BG","2024-01-30","0.00","68","79","55"
"BGM00041923","TEJGAON, BG","2024-01-31","0.00","71",,"63"
"BGM00041923","TEJGAON, BG","2024-02-01","0.02","71",,"64"
"BGM00041923","TEJGAON, BG","2024-02-02","0.00","71",,"65"
"BGM00041923","TEJGAON, BG","2024-02-03","0.00","70",,
"BGM00041923","TEJGAON, BG","2024-02-04","0.00","70","82","59"
"BGM00041923","TEJGAON, BG","2024-02-05","0.00","72","83","62"
"BGM00041923","TEJGAON, BG","2024-02-06","0.00","71",,"64"
"BGM00041923","TEJGAON, BG","2024-02-07","0.00","70",,
"BGM00041923","TEJGAON, BG","2024-02-08","0.00","67","78","58"
"BGM00041923","TEJGAON, BG","2024-02-09","0.00","69",,"61"
"BGM00041923","TEJGAON, BG","2024-02-10","0.00","71","81","62"
"BGM00041923","TEJGAON, BG","2024-02-11","0.00","72",,"63"
"BGM00041923","TEJGAON, BG","2024-02-12","0.00","71",,"63"
"BGM00041923","TEJGAON, BG","2024-02-13","0.00","73","86","61"
"BGM00041923","TEJGAON, BG","2024-02-14","0.00","74",,"64"
"BGM00041923","TEJGAON, BG","2024-02-15","0.00","76",,"68"
"BGM00041923","TEJGAON, BG","2024-02-16","0.00","77",,"69"
"BGM00041923","TEJGAON, BG","2024-02-17","0.00","74",,
